#,How confident are you now in managing your emotions and staying calm when things get stressful at work or in life?,"After learning about emotional intelligence, how are you at recognizing your personal emotional triggers?",Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,Creating my Emotional Pause Plan ,Learning ways to stay calm and in control ,Talking with others about emotional stress ,Visualizing myself responding better in tough situations ,Identifying how others see me when I’m stressed ,Other,"After the Communication Styles workshop, *how well do you understand your own communication style?*",What’s the communication habit _*you most want to work on this summer?*_,Other,Are you more or less motivated about setting and actually reaching your goals after the goals workshop?,What is *ONE specific personal or professional goal* you plan to work on this summer?,What is your current clarity level about your possible career paths?,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,Identifying what I don’t want in a job ,Learning that career paths can change over time ,Getting new ideas I never considered before ,"Realizing I don’t need a full plan, just a direction ",Other,How confident are you in your ability *to manage your money* this summer?,Which lessons from the *Money Moves workshop *do you think will help you most? *(Select TWO)*,Other,"After the personal branding session, how confident are you in *how you show up professionally*?",Practice my elevator pitch ,Start or improve a professional social media profile ,Ask for feedback about how I come across to others ,Be more intentional about how I speak and carry myself ,Make a better first impression in new spaces ,Network and build relationships ,Post content that shows who I am professionally ,Other,"Overall, how much do you feel you grew during the orientation?",Would you recommend this orientation and program to a friend or peer?,What are *TWO topics or focus areas* you wish we included in orientation that weren’t covered?,What’s *ONE SUGGESTION* you have for how we can make orientation even better next time?,What were *TWO THINGS* about this orientation that you enjoyed or found most valuable?,"How old are you?
",What is your current education status?,Other,What is your gender identity?,Other,Black or African American ,Hispanic or Latino ,White ,Asian or Pacific Islander ,American Indian or Alaska Native ,"Have you signed up to receive your paycheck with ""Direct Deposit"" and have a bank account?","If you are set up for ""direct deposit"", what is the name of your bank?",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
r2wzq1f3hicptvxklhr2wzq1ficf6lae,Very confident ,"A lot better, I understand them clearly now ",,Seeing the difference between low vs. high emotional intelligence ,,Learning ways to stay calm and in control ,,,,,I know it and I’m already working to improve it ,Managing body language and non-verbal cues ,,Extremely motivated to take action now ,Getting a full time job for post grad before the year is over,I feel very clear about my options and direction ,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,,,,,,,Very confident ,Prioritizing needs vs. wants ,,Extremely confident in how I present myself ,,Start or improve a professional social media profile ,,,,Network and build relationships ,,,Somewhat ,Probably yes ,None,Perfect,Learning the importance of networking and connections,21,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Bank of America,completed,2025-06-10 17:05:23,,2025-06-10 17:08:49,657693aa64,,
2cc261idctp4khu2ccnv0oh8hcnbz5hn,Very confident ,Much better ,,,,Learning ways to stay calm and in control ,,,Identifying how others see me when I’m stressed ,,I understand it clearly ,Knowing how to adjust depending on who I’m talking to ,,A little more motivated ,Budgeting my paychecks better.,I have solid ideas ,,,Talking with others about dream jobs and paths ,,Learning that career paths can change over time ,,,,Very confident ,Prioritizing needs vs. wants ,,Very confident ,,Start or improve a professional social media profile ,,,,Network and build relationships ,,,A lot ,Probably yes ,How to dress in different professional settings and how to avoid workplace conflicts.,Having one set orientation site.,"The positive attitude of the program leader and teachers, and the great information that I received.",21,Recently graduated from college ,,Female ,,Black or African American ,,,,,YES,GO2Bank,completed,2025-06-10 17:05:15,,2025-06-10 17:12:04,cb0ea651b1,,
fzssvhumdrh2162fifjka1fzssvhhgwt,A little confident ,Much better ,Understanding common workplace triggers ,,,Learning ways to stay calm and in control ,,,,,I have a general idea ,Managing body language and non-verbal cues ,,A little more motivated ,Learning a new skill,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,Identifying what I don’t want in a job ,,,,,Very confident ,Knowing how to create a basic budget ,,Somewhat confident ,,,Ask for feedback about how I come across to others ,Be more intentional about how I speak and carry myself ,,,,,A little bit ,Probably yes ,How to dress professionally for work,Nothing it was good and very enjoyable,The interactions the spokes people had with us and hands on activities,18,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Capital One,completed,2025-06-10 17:05:09,,2025-06-10 17:15:18,7a6ef9045c,,
fpp8jva7zsxjj7run8fpp80baqgwvidu,Very confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,,,,,Visualizing myself responding better in tough situations ,,,I know it and I’m already working to improve it ,Speaking with a professional tone ,,Much more motivated ,Communication,I have solid ideas ,,,Talking with others about dream jobs and paths ,,,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Prioritizing needs vs. wants ,,Very confident ,,Start or improve a professional social media profile ,,,Make a better first impression in new spaces ,,,,More than expected,Absolutely yes ,N/A,N/A,I enjoyed the connection and conversations I had with a lot of people,14-17,In high school ,,Female ,,Black or African American ,,,,,YES,Capital One,completed,2025-06-10 17:05:07,,2025-06-10 17:09:10,cb0ea651b1,,
wcjmmimp6he8whzfo6rrwcjmmiymmvrx,Very confident ,"A lot better, I understand them clearly now ",,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Speaking with a professional tone ,,Same ,How to motivate myself,I have a little more clarity now ,,,,Identifying what I don’t want in a job ,,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Using apps to help me track money ,,Somewhat confident ,Practice my elevator pitch ,,,,,Network and build relationships ,,,A lot ,Probably yes ,How to manage energy levels at work and how to work with difficult people,A course about working with difficult people or managers and how to deal with it,I enjoyed the connection and I value the lessons I learned,18,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Wells Fargo,completed,2025-06-10 17:05:05,,2025-06-10 17:09:34,0dd1a4d529,,
64hcibg6fl6y69dts6pf64hcika2mxjr,Very confident ,Much better ,,,,Learning ways to stay calm and in control ,Talking with others about emotional stress ,,,,I have a general idea ,Listening more and interrupting less ,,Much more motivated ,Getting a car,I have solid ideas ,,,,,Learning that career paths can change over time ,Getting new ideas I never considered before ,,,Extremely confident ,Seeing how fast money can disappear ,,A little more confident ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,A lot ,Absolutely yes ,None everything was covered,Zoom classes because traveling is a hustle,Making connections and learning,14-17,In high school ,,Male ,,Black or African American ,,,,,YES,Chase,completed,2025-06-10 17:04:45,,2025-06-10 17:07:16,eae3fcc5d1,,
t94bgpew6pjo2pr4347dt94bgpefmgy4,Very confident ,Much better ,Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,,,,,,,I have a general idea ,Being more confident when I speak ,,Less motivated ,Public speaking,I have solid ideas ,,,Talking with others about dream jobs and paths ,,Learning that career paths can change over time ,,,,Extremely confident ,Understanding how to start saving now ,,Very confident ,Practice my elevator pitch ,Start or improve a professional social media profile ,,,,,,,A lot ,Absolutely yes ,You included everything,Offer lunch,Meeting people,21,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Bank of America,completed,2025-06-10 17:04:34,,2025-06-10 17:09:35,cd886ea988,,
sptfv2qeak2gobsptf5hfpfz3q3r7y0q,Very confident ,Much better ,,,Creating my Emotional Pause Plan ,,Talking with others about emotional stress ,,,,I know it and I’m already working to improve it ,Knowing how to adjust depending on who I’m talking to ,,A little more motivated ,H,I feel very clear about my options and direction ,,,,,Learning that career paths can change over time ,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Knowing how to create a basic budget ,,Somewhat confident ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,Somewhat ,Maybe ,H,J,H,14-17,Enrolled in a trade or apprenticeship program ,,Prefer not to answer ,,,Hispanic or Latino ,,,,NO,Ay,completed,2025-06-10 17:04:32,,2025-06-10 17:11:49,9132a15ecd,,
8ebe7hy05q8s8t5ty0rq8ebe7o6pir9j,Very confident ,Much better ,Understanding common workplace triggers ,,Creating my Emotional Pause Plan ,,,,,,I understand it clearly ,Speaking with a professional tone ,,A little more motivated ,Grow professionally,I have solid ideas ,,,Talking with others about dream jobs and paths ,Identifying what I don’t want in a job ,,,,,Very confident ,Seeing how fast money can disappear ,,Somewhat confident ,,,,Be more intentional about how I speak and carry myself ,Make a better first impression in new spaces ,,,,Somewhat ,Absolutely yes ,Included everything,Give lunch atleast water,The presentation,20,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Chase,completed,2025-06-10 17:04:29,,2025-06-10 17:10:23,cb0ea651b1,,
x2j0kiwg7w97xnmmx2jgx0sosdilge83,Very confident ,Much better ,Understanding common workplace triggers ,,,,,Visualizing myself responding better in tough situations ,,,I know it and I’m already working to improve it ,Managing body language and non-verbal cues ,,Much more motivated ,I want to improve my self acceptance,I have a little more clarity now ,Exploring what I’m naturally good at ,,,Identifying what I don’t want in a job ,,,,,Very confident ,Prioritizing needs vs. wants ,,Very confident ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,Somewhat ,Absolutely yes ,I wish we focused a bit more on savings,Help make or find a budgeting app,I enjoyed working on money,19,Currently enrolled in 2/4-year college ,,Non-binary ,,Black or African American ,,,,,NO,I will be setting up a bank account with valley bank,completed,2025-06-10 17:04:25,,2025-06-10 17:07:58,d00f94689e,,
b2lhc6nanr3mxwwbyl2ub2lhcjsq6d5c,Extremely confident ,"A lot better, I understand them clearly now ",,,,,,Visualizing myself responding better in tough situations ,Identifying how others see me when I’m stressed ,,I know it and I’m already working to improve it ,,Understanding the person I’m talking to,Extremely motivated to take action now ,Building an foundation for myself,I have solid ideas ,Exploring what I’m naturally good at ,,,,,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Understanding how to start saving now ,,Very confident ,Practice my elevator pitch ,,,,Make a better first impression in new spaces ,,,,A lot ,Absolutely yes ,Everything was covered,.,Everybody had good energy and listened,21,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,Wells Fargo,completed,2025-06-10 17:03:54,,2025-06-10 17:13:31,abb5a422f2,,
4dupl5qqcnrgla12w4dups64wqbb1wre,Very confident ,Much better ,,Seeing the difference between low vs. high emotional intelligence ,Creating my Emotional Pause Plan ,,,,,,I understand it clearly ,Speaking with a professional tone ,,A little more motivated ,To stack a lot of money,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,,,,,,Extremely confident ,Understanding gross vs. net pay ,,Very confident ,,,Ask for feedback about how I come across to others ,Be more intentional about how I speak and carry myself ,,,,,A lot ,Absolutely yes ,Money moves and communication,Did great,The interaction and communication,19,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,Bank of America,completed,2025-06-10 17:03:46,,2025-06-10 17:09:31,5fd187bebb,,
s1snzbibzrtsbhv8cy4s1snzsxzfel7k,A little confident ,Slightly better ,,Seeing the difference between low vs. high emotional intelligence ,,,,,Identifying how others see me when I’m stressed ,,I have a general idea ,Being more confident when I speak ,,Much more motivated ,Getting my drivers license and a good apartment,I have a little more clarity now ,Exploring what I’m naturally good at ,,,,Learning that career paths can change over time ,,,,Extremely confident ,,,A little more confident ,,Start or improve a professional social media profile ,,,Make a better first impression in new spaces ,,,,Somewhat ,Absolutely yes ,I can’t think of right now,Everything was good,everything,18,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,Chime,completed,2025-06-10 17:03:35,,2025-06-10 17:09:36,4c9c3cdd13,,
0s2xkg212814d0j9kag0s2xkxui87ntu,Very confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,,,Learning ways to stay calm and in control ,,,,,I know it and I’m already working to improve it ,Managing body language and non-verbal cues ,,Extremely motivated to take action now ,Get my communications skills up,I have solid ideas ,,,,Identifying what I don’t want in a job ,,Getting new ideas I never considered before ,,,Very confident ,Prioritizing needs vs. wants ,,Very confident ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,A lot ,Probably yes ,Everything was perfect,It was great,It had a lot of energy,18,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Pnc,completed,2025-06-10 17:03:24,,2025-06-10 17:07:49,772a1d3b5c,,
v7k0u9n6u52g20kjc4v7k0uurngk6xvr,Very confident ,Much better ,,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Managing body language and non-verbal cues ,,Same ,Start my saving journey.,I have a little more clarity now ,,,,,Learning that career paths can change over time ,Getting new ideas I never considered before ,,,Somewhat confident ,Understanding gross vs. net pay ,,Somewhat confident ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,A little bit ,Absolutely yes ,Nothing comes to mind.,"More clarity with directions, please!","Emotional Intelligence learning, and the importance of Communication Skills.",18,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,Cash App,completed,2025-06-10 17:03:17,,2025-06-10 17:08:37,0baa7de786,,
xkyygjrfm1ylnbyi7xkyyzmloya84e42,Extremely confident ,"A lot better, I understand them clearly now ",,,,,,Visualizing myself responding better in tough situations ,Identifying how others see me when I’m stressed ,,I know it and I’m already working to improve it ,Managing body language and non-verbal cues ,,Extremely motivated to take action now ,Losing weight,I feel very clear about my options and direction ,,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,,,,,,Extremely confident ,,,Extremely confident in how I present myself ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,More than expected,Absolutely yes ,N/a,N/a,The facilitators and the classes they taught,20,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Wells fargo,completed,2025-06-10 17:03:02,,2025-06-10 17:05:25,0cba30a498,,
48dxw3aptb6hlis3v548dxw3c7qfia18,A little confident ,Slightly better ,Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,,,,,,,I have a general idea ,Being more confident when I speak ,,A little more motivated ,Working on networking and open and being less of an introvert.,I still feel unsure ,,Seeing how hobbies or skills connect to real careers ,,Identifying what I don’t want in a job ,,,,,Somewhat confident ,Knowing how to create a basic budget ,,A little more confident ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,A little bit ,Absolutely yes ,Everything was useful and purposeful,Starting on time so we can have the full sessions,Learning and networking,21,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,,Td bank,completed,2025-06-10 17:02:30,,2025-06-10 17:06:58,8e7804b07f,,
xr6u0kf34ipplnipu8xr6u0k1mnz7x7s,Very confident ,Much better ,,,,Learning ways to stay calm and in control ,,Visualizing myself responding better in tough situations ,,,I have a general idea ,Being more confident when I speak ,,Much more motivated ,Build hospital related connections,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,,Getting new ideas I never considered before ,,,Very confident ,Using apps to help me track money ,,Very confident ,,Start or improve a professional social media profile ,,Be more intentional about how I speak and carry myself ,,,,,A lot ,Absolutely yes ,How worksites are matched with students,Cohort 2  could have been split to be more even with the other cohorts,The amazing presenters and enthusiasm of my peers during interactions,23,Recently graduated from college ,,Female ,,Black or African American ,,,,,YES,Capital One,completed,2025-06-10 17:02:14,,2025-06-10 17:08:04,225a9763b0,,
cmn8hrwz71gx28zj4e4do3kcmn8hrwzk,Extremely confident ,"A lot better, I understand them clearly now ",,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I know it and I’m already working to improve it ,Knowing how to adjust depending on who I’m talking to ,,Extremely motivated to take action now ,Post Graduation preparation,I feel very clear about my options and direction ,,,,,Learning that career paths can change over time ,Getting new ideas I never considered before ,,,Extremely confident ,Knowing how to create a basic budget ,,Extremely confident in how I present myself ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,More than expected,Probably not ,"Finance, Post Graduation",Food,The workshops and meeting people my age,19,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Vibe Mobile,completed,2025-06-10 17:02:12,,2025-06-10 17:16:43,0095627ac1,,
shaczoc8ssgz0kh68shadxau65nbfwjd,Very confident ,Much better ,Understanding common workplace triggers ,,,Learning ways to stay calm and in control ,,,,,I know it and I’m already working to improve it ,Managing body language and non-verbal cues ,,Extremely motivated to take action now ,Professionalism,I have solid ideas ,Exploring what I’m naturally good at ,,,,,,"Realizing I don’t need a full plan, just a direction ",,Somewhat confident ,Prioritizing needs vs. wants ,,Very confident ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,A lot ,Absolutely yes ,Time management.,N/A,The mentorship and the workbooks,22,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,JP Morgan Chase,completed,2025-06-10 17:02:04,,2025-06-10 17:13:08,a496068050,,
2za9ecuin3cc4qncapg5pn2za9ecuq6a,Very confident ,Much better ,Understanding common workplace triggers ,,,Learning ways to stay calm and in control ,,,,,I have a general idea ,Being more confident when I speak ,,A little more motivated ,Communication,I have a little more clarity now ,,,Talking with others about dream jobs and paths ,Identifying what I don’t want in a job ,,,,,Very confident ,,,Very confident ,Practice my elevator pitch ,Start or improve a professional social media profile ,,,,,,,A little bit ,Probably yes ,Investing and finding a career,More organized,The instructors were enthusiastic,18,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Wells Fargo,completed,2025-06-10 17:01:26,,2025-06-10 17:06:44,457528c5f4,,
u8nut6uxcy7j4ltvbk9qu8nut7u2tlk7,Very confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,,,,,,Identifying how others see me when I’m stressed ,,I know it and I’m already working to improve it ,Being more confident when I speak ,,A little more motivated ,My personal goal is to be more outgoing and less shy,I still feel unsure ,,Seeing how hobbies or skills connect to real careers ,,,,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Using apps to help me track money ,,A little more confident ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,A lot ,Absolutely yes ,N/A,Make it a bit more exciting,n/a,20,High school graduate (not in school) ,,Female ,,Black or African American ,,,,,YES,TD Bank,completed,2025-06-10 17:01:22,,2025-06-10 17:07:00,292130e8e5,,
tnrj41eykhl51fkxpkolqvtnrj411c1l,Extremely confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,,,Learning ways to stay calm and in control ,,,,,I know it and I’m already working to improve it ,Speaking with a professional tone ,,Extremely motivated to take action now ,Time management,I have solid ideas ,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,,,,,,,Very confident ,Prioritizing needs vs. wants ,,Extremely confident in how I present myself ,Practice my elevator pitch ,Start or improve a professional social media profile ,,,,,,,A lot ,Absolutely yes ,N/A,N/A,Networking and learning about money management,24,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Chase Bank,completed,2025-06-10 17:01:15,,2025-06-10 17:05:54,d367e28c3b,,
